ASV,Health,Disease,Bile,Stone
ASV0,1270.433962,2660.833333,2834.957447,2837.6
ASV2,2.698113208,443.1363636,1686.638298,3015.68
ASV4,1203.773585,730.7272727,45.91489362,43.36
ASV5,692.6603774,704.9393939,31.74468085,24.96
ASV6,807.6415094,534.3787879,39.59574468,129.52
ASV7,685.6792453,554.1515152,40.14893617,55.36
ASV8,745.5283019,477.469697,31.23404255,20.96
ASV9,498.1698113,587.5606061,40.0212766,12.12
ASV10,807.9433962,314.4545455,20.23404255,55.32
ASV11,414.2830189,523.7272727,35.25531915,45.72
ASV12,496.490566,345.1969697,37.9787234,27.6
ASV13,461.8867925,354.8636364,38,8.72
ASV14,438,288.3484848,15.70212766,28.64
ASV15,274.5849057,383.030303,37.42553191,21.2
ASV16,116.2830189,405.6060606,153.7659574,2.2
ASV17,412.6603774,269.9242424,49.17021277,17.72
ASV18,215.2641509,394.5454545,27.5106383,7.8
ASV19,40.79245283,155.3939394,328.8723404,258.16
ASV20,359,279.2272727,23.87234043,50.84
ASV21,0.773584906,57.03030303,452.4893617,102.84
ASV23,383.4528302,163.3636364,12.72340426,10.88
ASV24,55.64150943,168.3333333,316.7021277,25
ASV25,246.3018868,223.2727273,11.29787234,10.6
ASV26,392.8867925,73.89393939,25.91489362,14.52
ASV27,115.5283019,173.4848485,149.1702128,101.4
ASV28,140.8113208,263.1363636,7.765957447,11.2
ASV29,195.3018868,207.9848485,16.0212766,14.12
ASV30,300.490566,118.7575758,9.234042553,24.8
ASV31,147.6603774,228.469697,16.31914894,8.8
ASV33,109.5849057,280.8030303,19.80851064,1.52
ASV34,64.66037736,269.5909091,10.42553191,5.56
ASV35,210.245283,168.6060606,9.638297872,6.76
ASV36,193.2075472,172.9848485,12.53191489,6.96
ASV37,351.5283019,52.06060606,20.38297872,4.24
ASV38,229.5283019,133.9848485,16.57446809,5.04
ASV39,181.4716981,168.4393939,10.40425532,7.6
ASV40,302.3396226,59.22727273,16.55319149,0.84
ASV41,255.2830189,79.75757576,6.617021277,2.52
ASV42,228.1886792,122,7.255319149,7.4
ASV43,173.4716981,130.469697,31.5106383,40.24
ASV44,270.7169811,59,6.85106383,3.56
ASV45,180.0377358,124.7272727,10.38297872,17.72
ASV46,182.0377358,125.530303,11.68085106,6.76
ASV47,96.16981132,133.3333333,49.12765957,60.88
ASV48,0.377358491,192.4393939,48.55319149,10.56
ASV49,157.0566038,107.1212121,3.14893617,0.12
ASV50,105.1698113,126.1969697,33.06382979,27.48
ASV51,156.1698113,121.9090909,3.021276596,12.84
ASV52,36.11320755,142.4848485,67.80851064,65.76
ASV54,40.32075472,95.96969697,101.5744681,94.2
ASV55,126.0566038,118.3939394,6.276595745,0.6
ASV56,147.7169811,99.81818182,5.595744681,2.96
ASV57,143.4339623,92.63636364,12.14893617,8.44
ASV58,57.62264151,156.9545455,3.85106383,0.96
ASV59,170.6415094,59.07575758,17.10638298,6
ASV60,78.67924528,127.2727273,12.74468085,0.88
ASV61,66.26415094,113.3181818,52.93617021,12.16
ASV62,123.3962264,103.1969697,5.212765957,2.56
ASV63,148.1509434,65.51515152,0.744680851,1.04
ASV64,125.6981132,94.53030303,6.276595745,6.44
ASV65,100.9622642,107,9.70212766,3.64
