kingdom,phylum,Class,order,family,genus,species,Health,Health,Health,Health,Health,Health,Health,Health,Health,Health,Health,Health,Health,Health,Health,Health,Health,Health,Health,Health,Health,Health,Health,Health,Health,Health,Health,Health,Health,Health,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease
k__Bacteria,k__Bacteria|p__Proteobacteria,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia-Shigella,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia-Shigella|,239,141,1201,417,181,2446,136,210,123,145,110,35,161,251,1757,106,7041,589,6087,426,609,220,598,1389,296,2413,2316,322,4585,8907,2643,286,155,57,11756,937,6267,45,3137,4878,317,194,351,2916,254,6704,498,3462,6539,1385,674,371,152,11461,3356,70,171,1599,798,68
k__Bacteria,k__Bacteria|p__Proteobacteria,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|,0,0,0,0,0,0,0,0,14,6,0,9,0,8,0,15,2,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,3730,3089,2348,784,1247,7,0,0,3,3,19,3,2
k__Bacteria,k__Bacteria|p__Firmicutes,k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales,k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Faecalibacterium,k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Faecalibacterium|,245,2760,592,442,1910,524,2456,1653,1485,2009,7841,1364,1425,2426,374,725,23,6732,1687,748,1152,3930,536,86,80,117,306,715,114,0,1118,525,1084,3671,65,113,4184,763,142,0,197,1451,1582,269,62,208,1466,350,224,385,0,0,227,308,307,148,18,12,8,96
k__Bacteria,k__Bacteria|p__Actinobacteriota,k__Bacteria|p__Actinobacteriota|c__Actinobacteria,k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Bifidobacteriales,k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|,12,224,97,278,14,18,187,101,2054,462,69,6099,152,732,404,227,41,202,95,597,61,68,2052,576,58,726,405,76,52,1508,398,6243,89,276,3845,2094,170,189,9,51,22,3345,53,48,54,131,28,303,278,311,203,30,2172,19,534,407,13,315,20,16
k__Bacteria,k__Bacteria|p__Firmicutes,k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales,k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Agathobacter,k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Agathobacter|,258,354,465,6477,153,662,109,2325,126,322,451,129,1161,398,2380,1800,6,298,1055,2870,299,391,296,260,98,956,178,1296,64,0,96,1147,49,34,17,18,885,212,101,53,2909,1426,1399,2107,27,253,992,242,261,264,11,55,7014,82,44,248,775,156,55,321
k__Bacteria,k__Bacteria|p__Firmicutes,k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales,k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia,k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia|,891,348,213,1287,1198,422,447,1340,609,422,362,226,358,179,1011,781,941,636,153,534,490,515,363,1916,145,247,83,480,157,47,172,1360,289,471,941,189,239,914,503,1274,822,259,794,686,19,463,638,421,476,662,103,573,240,345,476,442,391,498,1806,188
k__Bacteria,k__Bacteria|p__Actinobacteriota,k__Bacteria|p__Actinobacteriota|c__Actinobacteria,k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Bifidobacteriales,k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|,13,416,3591,440,23,23,1465,19,46,110,159,19,236,21,207,37,26,218,185,54,139,2595,73,36,57,52,365,228,79,49,139,198,66,683,226,32,35,298,139,549,24,3341,380,25,925,80,8,128,131,200,5,0,0,20,0,0,24,74,0,0
k__Bacteria,k__Bacteria|p__Firmicutes,k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales,k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Faecalibacterium,k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Faecalibacterium|,68,517,311,599,1661,210,991,50,3707,3273,1316,188,182,636,77,818,0,320,671,202,106,1465,395,43,25,96,54,348,50,0,5333,240,1890,2183,116,151,596,236,10,0,897,388,411,350,49,155,96,204,552,187,908,187,549,330,328,368,122,32,13,43
k__Bacteria,k__Bacteria|p__Firmicutes,k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales,k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Faecalibacterium,k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Faecalibacterium|,297,363,232,160,179,683,1468,2152,696,554,193,441,279,374,2056,297,0,815,915,480,648,745,1593,1242,106,1409,196,224,64,0,120,76,607,118,45,14,105,232,62,0,295,450,112,521,17,1292,775,68,39,45,45,162,53,418,632,1437,3000,1490,107,145
k__Bacteria,k__Bacteria|p__Bacteroidota,k__Bacteria|p__Bacteroidota|c__Bacteroidia,k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales,k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,736,64,30,92,51,31,2406,32,19,154,103,22,74,527,28,778,150,246,163,1405,420,69,66,2138,63,1108,42,549,80,1695,1583,75,41,382,23,145,1006,52,522,50,93,780,33,42,2491,630,38,216,135,667,9,7,36,33,3428,1525,136,5743,89,688
k__Bacteria,k__Bacteria|p__Firmicutes,k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales,k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Fusicatenibacter,k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Fusicatenibacter|,565,505,285,912,278,315,632,930,461,958,265,670,238,404,774,303,3,328,273,267,828,894,173,956,77,1039,95,747,78,2,95,1012,443,590,208,199,285,299,30,85,402,781,293,803,27,123,122,163,193,273,45,322,216,245,181,285,419,330,55,178
k__Bacteria,k__Bacteria|p__Bacteroidota,k__Bacteria|p__Bacteroidota|c__Bacteroidia,k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales,k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei,50,105,636,73,43,32,309,1855,95,49,672,5,71,53,37,28,11,240,91,147,46,3246,1696,117,0,22,40,173,45,0,20,64,4451,17,31,0,21,189,35,0,32,49,89,9,13,65,1877,8,0,7,7,0,1744,280,7,749,50,65,41,44
k__Bacteria,k__Bacteria|p__Firmicutes,k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales,k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Subdoligranulum,k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Subdoligranulum|,25,467,125,151,16,94,355,43,875,284,271,1260,197,183,57,141,22,270,136,124,334,487,148,98,6310,91,128,1000,110,11,96,462,1241,377,79,51,901,711,16,417,220,163,542,147,13,94,37,186,120,296,12,0,41,86,953,26,305,20,21,279
k__Bacteria,k__Bacteria|p__Bacteroidota,k__Bacteria|p__Bacteroidota|c__Bacteroidia,k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales,k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|,3692,0,56,48,19,557,26,59,230,48,645,925,954,232,46,0,37,242,279,1853,156,46,27,108,0,1344,81,161,47,88,1228,0,406,50,24,2080,0,26,342,70,436,496,37,20,0,436,376,524,189,467,0,0,76,82,8395,90,2005,0,51,592
k__Bacteria,k__Bacteria|p__Firmicutes,k__Bacteria|p__Firmicutes|c__Bacilli,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|,0,0,30,44,0,4,0,0,0,5,4,11,24,8,0,45,0,18,21,82,28,26,41,7,109,10,1414,1929,10,0,51,0,23,38,601,37,19,44,3,0,14,32,0,19,269,7,222,14,4,0,23,8,1,25,0,0,0,0,0,2
k__Bacteria,k__Bacteria|p__Bacteroidota,k__Bacteria|p__Bacteroidota|c__Bacteroidia,k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales,k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|,867,55,131,64,1055,53,553,86,744,898,144,2337,1474,114,490,150,52,1393,114,679,340,979,123,1032,34,509,108,226,50,5,258,65,295,152,32,1476,440,56,101,69,115,47,192,231,15,305,672,742,85,175,5,0,734,254,408,1588,291,482,87,569
k__Bacteria,k__Bacteria|p__Actinobacteriota,k__Bacteria|p__Actinobacteriota|c__Actinobacteria,k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Bifidobacteriales,k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,556,73,119,77,35,164,235,67,131,49,28,156,41,60,314,20,104,111,60,91,25,171,447,55,20,584,989,21,35,979,120,228,41,188,793,409,73,163,78,131,25,416,14,85,3530,78,79,127,133,186,79,221,331,33,38,25,27,46,0,0
k__Bacteria,k__Bacteria|p__Proteobacteria,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia-Shigella,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia-Shigella|,0,0,0,0,0,337,21,29,0,0,0,0,0,29,106,0,0,44,0,0,0,0,0,52,21,0,197,27,0,206,65,0,0,0,0,20,204,0,390,264,24,0,36,237,0,903,29,403,209,81,34,21,0,0,208,0,0,0,234,0
k__Bacteria,k__Bacteria|p__Firmicutes,k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales,k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Faecalibacterium,k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Faecalibacterium|,175,792,97,95,27,226,386,145,2216,469,216,98,255,298,739,309,0,338,165,86,161,318,192,91,51,72,42,43,41,0,35,104,306,839,222,38,540,1351,45,0,161,236,867,123,15,35,151,70,46,47,0,0,907,894,65,293,1296,416,76,102
k__Bacteria,k__Bacteria|p__Firmicutes,k__Bacteria|p__Firmicutes|c__Bacilli,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,85,56,1694,423,342,0,0,0,0,0,0,0,0
k__Bacteria,k__Bacteria|p__Firmicutes,k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales,k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Roseburia,k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans,80,82,140,293,111,1137,349,2474,115,1077,721,272,97,375,307,1137,0,157,546,650,350,100,61,2207,51,226,55,658,35,0,9,90,2442,26,6,0,53,49,22,23,435,152,212,2125,10,94,333,64,92,103,10,71,15,61,100,28,270,569,32,67
k__Bacteria,k__Bacteria|p__Bacteroidota,k__Bacteria|p__Bacteroidota|c__Bacteroidia,k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales,k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|,240,28,37,14,13,12,0,42,83,35,149,93,196,62,244,39,14,31,16,15,79,117,120,37,0,4,8,9,2,0,189,13,0,0,16,331,11,3,34,0,59,5,71,9,32,182,55,154,26,54,6,16,30,14,165,216,139,330,4703,194
k__Bacteria,k__Bacteria|p__Actinobacteriota,k__Bacteria|p__Actinobacteriota|c__Coriobacteriia,k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales,k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae,k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella,k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|,20,91,2220,201,62,74,138,26,371,249,102,41,374,105,68,946,17,50,89,56,39,104,32,29,34,687,18,86,52,8,94,2341,151,546,29,43,164,244,108,667,98,278,565,248,12,260,10,31,31,499,64,7,200,61,26,46,97,17,14,994
k__Bacteria,k__Bacteria|p__Firmicutes,k__Bacteria|p__Firmicutes|c__Negativicutes,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales-Selenomonadales,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales-Selenomonadales|f__Veillonellaceae,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales-Selenomonadales|f__Veillonellaceae|g__Dialister,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales-Selenomonadales|f__Veillonellaceae|g__Dialister|s__Dialister_sp.,27,1485,298,40,22,12,1399,44,71,75,135,218,46,4860,198,58,6,25,35,29,44,554,43,27,20,16,30,677,738,15,22,14,7,764,44,12,153,61,5,1,3,68,19,0,15,41,0,160,147,235,0,0,0,0,0,1003,12,10,6,8
k__Bacteria,k__Bacteria|p__Verrucomicrobiota,k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae,k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Verrucomicrobiales,k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae,k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia,k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|,17,12,24,18,0,0,13,20,121,29,4,3,26,5,20,16,37,28,29,8,7,0,4,5,14,4358,2,0,6,19,3,0,0,1,0,0,68,0,18,3617,0,3,3,3,0,10,45,1797,116,77,2,18,0,289,0,0,8,8,9,1366
