Species,value,Group
beta-Alanine metabolism,0.183451,Up-regulated
alpha-Linolenic acid metabolism,4.66E-02,Up-regulated
Arachidonic acid metabolism,4.04E-02,Up-regulated
Bacterial invasion of epithelial cells,0.039932,Up-regulated
Ether lipid metabolism,2.61E-02,Up-regulated
Choline metabolism in cancer,2.14E-02,Up-regulated
Linoleic acid metabolism,1.91E-02,Up-regulated
Phospholipase D signaling pathway,1.57E-02,Up-regulated
Bile secretion,1.10E-04,Up-regulated
Fatty acid biosynthesis,-0.11618,Down-regulated
