Species,group,Faecalibacterium.prausnitzii,Escherichia.coli,Phascolarctobacterium.sp..CAG.207,Clostridium.sp..CAG.43,X.Ruminococcus..gnavus,Eubacterium.sp..CAG.38,Shigella.sonnei,Salmonella.enterica,Thermodesulfovibrio.thiophilus,Leucothrix.mucor,Shigella.dysenteriae,Shigella.flexneri,Collinsella.sp..4_8_47FAA,Lachnoclostridium.sp..An196,butyrate.producing.bacterium.SS3_4,Ruminococcus.gnavus.CAG.126,Streptococcus.anginosus,Aquimarina.macrocephali,Clostridium.perfringens,Clostridium sp  CAG 7,Eubacterium sp  CAG 248,Eubacterium.sp..38_16,Lactobacillus.rogosae,Citrobacter.koseri,Eubacterium.sp..CAG76_36_125,Clostridium.sp..CAG.81,Candidatus.Stoquefichus.sp..KLE1796,Enterococcus.asini,Shigella.sp..SF.2015,X.Clostridium..aminophilum,Enterococcus.avium,Lachnospiraceae.bacterium.10.1,Firmicutes.bacterium.CAG.24,Escherichia.albertii,Erysipelatoclostridium.ramosum,Roseburia.sp..CAG.100,X.Clostridium..glycyrrhizinilyticum,Citrobacter.youngae,Cronobacter.turicensis,Enterobacter.asburiae,Clostridium.sp..Marseille.P299,Bacteroides.paurosaccharolyticus,Clostridium.sp..ASF356,Bifidobacterium.animalis,Raoultella.planticola,Gordonibacter.massiliensis,Gordonibacter.sp..An230,Eggerthella.sp..51_9,Lelliottia.sp..PFL01,Lachnospira.multipara,Citrobacter.rodentium,Desulfitobacterium.hafniense,Eggerthella.sp..YY7918,Enterococcus.sp..HSIEG1,Prevotella.amnii,Mycobacterium.avium
H1,Health,4.382310299,0.894378927,8.344985628,0.891931178,0.191425501,1.157922766,0.038079832,0.021438816,0.008176765,0.008907573,0.009620225,0.009958465,1.48E-05,0.03890294,0.024644958,0.024619681,0.002216088,0.003508528,0.002662267,0.833979475,0.005379813,0.131446611,0.005617391,0.003078695,0.002902676,0.015346432,0.019164213,1.40E-05,0.002194854,0.007300488,0,0.002424963,0.003773702,0.002878483,0.002481478,0.00341925,0.008976123,0.00086286,0.001571489,0.001275628,0.002805293,0.028332072,0.027990801,0.001392289,0.000955607,0.001255568,0.000129673,0.000592864,0.000805427,0.001957729,0.000845053,0.000544904,0.000418137,2.78E-05,0.000884783,0.000577026
H3,Health,13.44688746,0.051668032,0.073031689,0.074983044,0.027014966,0.194848777,0.001502019,0.003717985,0.000191102,0.000148084,0.000242134,0.000352261,0.021383732,0.07485394,0.027815805,0.000774399,9.61E-05,4.72E-05,0.003415872,0.114478166,0.003431725,0.009813198,0.008548251,0.000922394,0.007236842,0.009781813,0.00500286,0,9.42E-05,0.018053523,0,0.019988264,0.013591567,7.17E-05,5.23E-05,0.010825651,0.005358936,0.000683807,0.000384465,0.000907983,0.008349714,0.007510196,0.005409259,0.0036757,7.74E-05,0.009282296,0.002638092,0.002818032,8.81E-05,0.007223092,1.79E-05,0.007259615,0.006920931,2.06E-06,0.004122543,0
H5,Health,3.602268294,3.604079366,1.02990325,0.04351305,0.028717921,0.008100819,0.124478103,0.048882842,8.08E-06,1.76E-06,0.031853397,0.030515404,0.247909169,0.027740522,0.013285945,0.002098724,0.000550563,0.000575607,0.010719704,0.053957737,0.001309329,0.032945432,0.002487127,0.008749857,0.003465253,0.00442333,0.004748566,9.50E-05,0.007826049,0.010842236,0,0.009104745,0.013118603,0.004491601,0.000310061,0.001355125,0.001034381,0.006029417,0.003743189,0.00343698,0.011247331,0.001139249,0.0068673,0.010829976,0.002154266,0.015695916,0.006249229,0.0024521,0.00258755,0.002021011,0.002319378,0.009474042,0.010353824,0.000229017,0.003486701,0.004182689
H9,Health,4.514630713,1.030164131,0.684394805,0.908123912,0.660201036,0.047297343,0.036444819,0.026784054,0.004667319,0.004675713,0.008004012,0.007403424,3.28E-05,0.100294517,0.213516686,0.037765534,0.003637771,0.004315242,0.030409514,0.381355613,0.004933008,0.026717112,0.023373978,0.005027587,0.013924435,0.092005304,0.012783654,0,0.00199297,0.030941905,0,0.034701671,0.00982455,0.002889221,8.22E-05,0.00487853,0.029299354,0.001474249,0.002685315,0.001925733,0.005746428,4.64E-05,0.022649737,0.001490341,0.001076315,0.002226899,0.001922291,0.001479594,0.001037227,0.002218545,0.000779626,0.002421053,0.000764304,0,0.002250087,0.000412425
H10,Health,11.06524959,0.587242484,4.409297979,0.211578082,0.05326563,0.004983071,0.016642381,0.008488083,0.035980124,0.000978844,0.005027531,0.006796371,0.019313075,0.047997228,0.044877969,0.003042121,0.005422285,0.038237303,0.001956859,0.296495962,0.064905152,0.032975582,0.006830108,0.001770982,0.001053553,0.013268149,0.003226513,0,0.001031613,0.012669736,6.31E-06,0.015777156,0.001626807,0.000912895,0.000136799,0.001453282,0.014510288,0.000520907,0.00051696,0.000605208,0.004223751,0.021430598,0.002717527,0.000714178,0.000294735,0.007853685,0.005150686,0.002086104,0.000359728,0.00415008,0.000515786,0.010592064,0.004458185,0,0.00020593,0.000187558
H11,Health,12.00636043,5.262083307,5.051698987,2.253144493,0.071764315,0.061645389,0.233487792,0.095836271,0.023394832,0.020623575,0.074231601,0.098550192,0.020112976,0.106854458,0.063114766,0.007234808,0.001172827,0.011938934,0.011976604,8.712028281,0.017332003,0.005788349,0.045915077,0.01979575,0.053911703,0.031541086,0.000992367,0,0.018051876,0.0125949,0,0.024266395,0.008808479,0.00955555,0.000618931,0.015317248,0.001285799,0.005744708,0.007624223,0.011732824,0.007616897,0.00799642,0.012145332,0.001304294,0.006478667,0.000779111,9.88E-05,0.000375127,0.004948068,0.00538673,0.006103372,0.008016428,0.001584607,0,5.32E-05,0.002145644
H14,Health,16.09963812,0.051680635,0.013341354,0.731902995,0.054539658,0.038770505,0.001885091,0.001461991,0,0,0.000555542,0.00069007,0.060655325,0.075171898,0.049326318,0.0016599,0.000326165,0,0.006885123,0.490502821,0.012891527,0.009936102,0.041243729,0.000218359,0.040551489,0.014959947,0.002806324,0,0,0.037651778,0,0.024380525,0.032351648,5.96E-05,0.000262469,0.005320459,0.003417257,7.95E-05,8.28E-05,0.000121136,0.004914245,0.004672378,0.005182826,0.007042044,6.57E-05,0.00316801,0.002934447,0.002637217,4.26E-05,0.00851074,9.72E-05,0.005806533,0.00744931,0,0.00507873,0
H15,Health,28.63720517,0.019688516,0.972412406,0.036484969,0.161912834,0.057763524,0.000790005,0.000512644,0.000154822,0,0.000220399,0.000124589,8.51E-06,0.01951505,0.271073621,0.007557228,0.00071718,4.02E-06,0.018776183,1.969510678,0.082069764,0.005259445,0.268956722,3.55E-05,0.183991892,0.072113169,0.017338816,0,6.35E-05,0.031090182,0,0.028634311,0.004210478,3.62E-05,6.62E-05,0.013288426,0.008279316,9.92E-05,1.77E-05,3.13E-05,0.013262514,0.001778157,0.001689694,0.000806676,0,0.000210822,0.000947289,0.00230173,5.11E-06,0.023004657,0,0.002841995,0.000921084,0,0.000523298,0
H17,Health,24.18690915,0.056442421,2.657750068,1.239552705,0.084261091,1.445636823,0.001383329,0.001036625,0.005809017,1.50E-05,0.000198273,0.000206027,0.034953194,0.085089954,0.042536859,0.002628948,0.001084699,0.003464653,0.009877601,0.03226114,0.548667423,0.019970799,0.033220305,0.0001378,0.015159208,0.026108862,0.001767191,0,0.000128069,0.031097172,0,0.034552818,0.051930049,6.93E-05,0.000738148,0.016352372,0.003569529,0.000566846,3.31E-05,4.25E-05,0.022598086,0.00612663,0.025348466,0.00435036,1.31E-05,0.005590221,0.002373238,0.001193633,1.57E-05,0.00728411,3.40E-05,0.002287296,0.001112941,0,0.001135273,0
H18,Health,15.60438386,0.307767154,1.525880767,1.145689115,0.127370377,0.012454757,0.002170085,0.001923944,0.041948316,0.049325945,0.000542715,0.000777136,0.022806654,0.048036997,0.020667505,0.006528514,0.001258918,0.027029,0.012658035,0.750481338,0.040229005,0.168212809,0.01866331,0.000287925,0.009428284,0.007819525,0.01247782,3.94E-06,0.000146578,0.017744047,8.61E-06,0.020316344,0.035433564,7.92E-05,0.003266521,0.01756727,0.013060033,0.000408802,0.000118359,9.52E-05,0.00592418,0.00893761,0.004039389,0.001312491,6.85E-05,0.003041185,0.000898463,0.000460439,5.41E-05,0.003886875,0.000103208,0.011156369,0.004348192,0,0.000208956,4.48E-05
