,Richness,Shannon,Simpson,Pielou,Chao1,ACE,goods_coverage,Group
H1,245,3.387855217,0.913202894,0.615832794,3.403883731,7.776534476,0.999504705,Health
H2,195,3.974816704,0.969246798,0.753805621,1.776939546,6.673369211,0.999724073,Health
H3,333,4.400540634,0.969226906,0.757650254,2.297055805,8.810675393,0.999557789,Health
H4,242,4.159214161,0.969263365,0.757744826,3.821916022,7.397656047,0.999572051,Health
H5,291,4.173901115,0.958724391,0.735706555,3.33739353,7.983335152,0.99956839,Health
H6,307,4.14282586,0.961501442,0.723404226,1.560178564,8.621370442,0.999689634,Health
H7,269,3.658679195,0.912722195,0.653953162,2.607776677,7.900894707,0.999618058,Health
H8,317,3.957669987,0.911385002,0.687226513,1.36699132,8.636654713,0.999770335,Health
H9,293,3.639172901,0.913787407,0.640679985,4.161533516,8.346083175,0.999395451,Health
H10,206,3.492174387,0.932689947,0.65545337,3.086987815,6.96955768,0.999611734,Health
H11,241,3.914276804,0.945924857,0.713659385,1.357029817,7.403414307,0.999729291,Health
H12,181,3.575015445,0.944608949,0.687701738,3.59569171,6.525664946,0.999588697,Health
H13,202,3.457459323,0.91071952,0.651334771,4.313368407,6.885183037,0.999498017,Health
H14,224,3.833923334,0.950990108,0.708457888,5.390896257,7.252511376,0.999374193,Health
H15,233,3.785538868,0.956040358,0.694461964,3.557517485,7.579886314,0.999514642,Health
H16,231,3.590107428,0.945993705,0.659653047,2.376445539,7.48033532,0.999626153,Health
H17,225,3.822997346,0.937857943,0.705857917,0.926920993,7.000400715,0.999833901,Health
H18,294,4.204551103,0.968198768,0.739771636,6.955656279,8.312883121,0.999245313,Health
H19,243,3.723877439,0.940309101,0.677923864,4.626247168,7.689288287,0.999388977,Health
H20,336,4.045476937,0.954667061,0.695444324,3.900584379,9.141223408,0.99922759,Health
H21,316,4.03561412,0.960776723,0.701145738,2.420580863,8.878912625,0.999461145,Health
H22,293,3.480248255,0.930501549,0.612701144,4.369582895,8.409761242,0.999060764,Health
H23,239,3.908706024,0.954304215,0.713728118,1.776972962,7.355721075,0.999732743,Health
H24,276,3.628561591,0.896216048,0.645605479,1.835251939,8.128846856,0.999621327,Health
H25,287,3.604982874,0.920340288,0.636981041,6.853348922,8.443307551,0.999302488,Health
H26,292,4.605561494,0.980720012,0.811301961,3.779328494,7.863137459,0.999497466,Health
H27,301,3.907718367,0.940974399,0.684710508,2.482830176,8.62575321,0.999439776,Health
H28,225,3.424476592,0.922020093,0.632277162,7.189782888,7.440242197,0.999466382,Health
H29,285,4.155272855,0.967164686,0.735122655,3.451226875,8.268901973,0.999459397,Health
H30,319,4.24955256,0.973245419,0.737105238,5.668159997,8.881416238,0.998960364,Health
H31,295,2.479861164,0.815047258,0.43605977,6.263422982,8.333061433,0.998706897,Health
H32,218,3.939894753,0.964728629,0.73171109,4.339065341,6.907804459,0.999524771,Health
H33,212,3.749496894,0.944928988,0.699978812,2.053341578,7.021358185,0.999654643,Health
