Gene	Type
K01897	type1
K01058	type2
K07119	type2
K13735	type3
K00137	type4
K01782	type4
K01825	type4
K05666	type5
K00901	type6
K00968	type6
K01058	type7
K00901	type8
K05881	type8
K07406	type8
K11529	type8
K01058	type9
K00901	type10
K00042	type11
K00090	type11
K00284	type11
K01608	type11
K01637	type11
K01638	type11
K01816	type11
K01849	type11
K01915	type11
K01965	type11
K11529	type11
K12972	type11
K00625	type11
K03119	type11
K00625	type12
K00932	type12
K01659	type13
K01720	type13
K01782	type13
K01825	type13
K01849	type13
K01908	type13
K01965	type13
K03417	type13
K08325	type13
K11264	type13
K19745	type13
K22214	type13
K00242	type14
K00245	type14
K00246	type14
K00247	type14
K00929	type14
K01027	type14
K01715	type14
K01782	type14
K01825	type14
K03737	type14
K04072	type14
K04073	type14
K08318	type14
K08324	type14
K11258	type14
K19709	type14
K20509	type14
K00632	type15
K01058	type15
K00261	type16
K00266	type16
K01915	type16
K08324	type16
K13051	type16
K14260	type16
K00059	type17
K01897	type17
K00121	type18
K00249	type18
K00529	type18
K00632	type18
K01782	type18
K01825	type18
K01897	type18
K04072	type18
K05939	type18
K06445	type18
K00765	type19
K01496	type19
K00322	type20
K04765	type20
K12410	type20
