"","D3","D9","D11","D12","D16","D22","D24","D28","D29","D31","D33","D35","D41","D42","D43","D44","D46","D48","D51","D54","D55","D57","D58","D59","D60","D61","D63","D64","D65","D66","H1","H3","H5","H9","H10","H12","H15","H16","H20","H21","H24","H25","H26","H27","H29","H30","H31","H34","H37","H38","H40","H41","H43","H44","H45","H46","H47","H48","H50","H52"
"Label","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health"
"Dodecanedioic acid","-0.32767486"," 0.20219598","-0.02157542","-0.21268725","-0.67040250","-0.53517379"," 0.97342626","-0.42643195","-0.65785361","-0.68459905","-0.16620330","-0.36770348"," 0.30525038","-0.56381205","-0.70147030","-0.21712706"," 1.18492154"," 1.47409858","-0.57690956","-0.49747331","-0.70070443"," 1.06206541","-0.66372921"," 0.04389377","-0.28971534","-0.52867726"," 1.88116852","-0.54822288","-0.69828531","-0.64603416","-0.33148486"," 0.92606907"," 0.19292949","-0.54537545","-0.33580031","-0.55569549","-0.19533137","-0.53240647"," 0.56616163","-0.40346702","-0.06784151"," 0.53838254"," 2.17127065","-0.35257910"," 0.35422594","-0.60890254","-0.63573781"," 0.46539794","-0.52332674","-0.24660659"," 2.75403794"," 4.96656867","-0.29015409","-0.30076442","-0.68624620","-0.42048681","-0.70121995","-0.46323878","-0.70359834","-0.45933440"
"Gluconic acid"," 1.63838284","-0.20008388","-0.53588175","-0.51134470","-0.54904115"," 0.02136268"," 4.43527400","-0.50775939","-0.52847348","-0.56501330","-0.25698690","-0.03931184","-0.51899411"," 0.08561131","-0.35530813"," 0.19043109"," 0.50551683","-0.13649667"," 2.09274301","-0.46442457","-0.54857435","-0.08262932","-0.50506690","-0.34344604"," 1.56849547","-0.42536163"," 0.30949697","-0.42432529","-0.56438659"," 0.33549546","-0.48163360","-0.11383838","-0.54203428","-0.63511264","-0.46050342","-0.45282099","-0.59788352","-0.16382573","-0.52205128","-0.50187792","-0.34625438","-0.54625640","-0.33575401","-0.46424834","-0.51725394","-0.53179207","-0.43400814","-0.03783641"," 2.78440470","-0.08803356","-0.23823430","-0.52141499"," 3.42905327","-0.51599770","-0.38041713"," 1.04221977"," 0.07920190","-0.49126086","-0.29975250","-0.23468281"
"3-Phenyllactic acid","-0.53051101","-0.39775258","-0.12402924","-0.52514463"," 0.63806582","-0.45535828","-0.36808362","-0.57739548"," 0.15886550","-0.39664758"," 0.17763284","-0.41797086","-0.46845805","-0.30357650"," 2.35579686"," 0.37882837","-0.28299875"," 0.16024421"," 1.31529725","-0.49028362"," 4.71476465"," 0.79930458","-0.43269443","-0.13757692","-0.40667153","-0.49706421","-0.27476204","-0.30694876","-0.55539515","-0.36735290","-0.51081635"," 0.14681329","-0.05574150","-0.50099700","-0.50980794","-0.54585105","-0.21477644","-0.55404232","-0.32427911","-0.34644738","-0.36777646","-0.15500822"," 0.21627636","-0.50888625","-0.24458926","-0.24983977","-0.39814503"," 0.30623867","-0.47130761","-0.44698091"," 0.01689178","-0.43826749"," 0.34572939","-0.56546096","-0.45312158","-0.41250780"," 4.53778881"," 0.10307507"," 0.26592345","-0.04621035"
"Gallic acid","-0.25846688"," 0.05126515","-0.26397215","-0.25922464","-0.26335132","-0.25394851","-0.26372338","-0.26010450","-0.25973846","-0.22952966","-0.26379884","-0.26300544","-0.19942081","-0.15764576"," 0.04369853","-0.26307416","-0.26089467","-0.25767608","-0.26113592","-0.23272288"," 1.82457471","-0.23870884","-0.26171064"," 0.69495477","-0.26426913","-0.26383869","-0.14447991"," 0.79419750","-0.20766130","-0.26217722"," 0.33682775","-0.23416689","-0.25843205","-0.09201966","-0.23377589","-0.26205535"," 1.68117318","-0.26062370","-0.25327517","-0.26338724","-0.21187161","-0.26413903","-0.25714842","-0.11856679","-0.26377581","-0.25201349","-0.25519216","-0.25753564","-0.26359219","-0.26392305","-0.26358117","-0.21180672","-0.26350722","-0.12749441","-0.26388291","-0.25132446","-0.25493505","-0.26056699"," 6.96834899","-0.11816770"
"3,4-Dihydroxyphenylpropionic acid","-0.46354929","-0.41379299","-0.40092665","-0.49476145","-0.32817719","-0.43927669","-0.51846565","-0.54681933","-0.36343505","-0.22603362"," 0.10786369","-0.40114303","-0.36167436"," 0.08002049"," 0.11419884"," 0.54060674","-0.42993947","-0.11136478","-0.18991362","-0.36940893"," 5.33943004"," 1.16348621","-0.47160894"," 2.56958950","-0.41752279","-0.56297733"," 0.11274661","-0.37994643","-0.53722620","-0.39209047","-0.50863971"," 0.02262186","-0.22704854","-0.20541749","-0.33414782","-0.46661572","-0.26024399","-0.50821338","-0.16301819","-0.38428891"," 0.25442792"," 0.11014590","-0.02319751","-0.37588972","-0.24646676","-0.22349696","-0.29300115"," 0.36784841","-0.30564653","-0.53643416","-0.10643949","-0.16820129"," 0.01498029","-0.40737307","-0.44735667","-0.42314306"," 3.80542201","-0.19300613","-0.05842028"," 1.08237228"
"Naringin","-0.07151462","-0.11355683","-0.11775022","-0.12480699","-0.07312006","-0.13705709","-0.11551031","-0.11773567","-0.13880911","-0.13793880","-0.12151210","-0.13356435","-0.13041653","-0.13241735","-0.12933364","-0.13533021","-0.13450140","-0.12957864","-0.13804063","-0.13778317","-0.13512406","-0.12880907","-0.13424545","-0.13256487","-0.13640477","-0.13958851","-0.12294827","-0.13567821","-0.12895685","-0.12567455","-0.13120664","-0.12876184","-0.13141064","-0.12671432","-0.12207304","-0.13700119","-0.13404479","-0.11062063","-0.12805190","-0.13677566","-0.12861406","-0.13306770","-0.12660203","-0.13360562","-0.13703439","-0.13490553","-0.13726381","-0.13385593","-0.13043945","-0.13773035","-0.13151038","-0.13128785","-0.13467213","-0.13675653","-0.13787996","-0.13571765","-0.13489980","-0.13532979"," 7.61627429","-0.12816835"
"D-(-)-Fructose","-0.513544697"," 0.851030581","-0.023914879"," 0.061020045","-1.536529162"," 0.643097129","-0.576252410","-1.359934759"," 0.070372317","-1.114059821"," 1.586636097","-1.345453011"," 0.049322309"," 1.834169974","-0.303548886"," 0.047162522","-0.375035711","-1.381447577"," 0.195942903"," 0.150037174"," 1.217369267"," 0.887987248","-1.375796290","-0.411677987","-0.041334579"," 0.389256662","-0.004234297","-0.721362771","-1.424152326"," 0.938744784"," 0.521964443"," 0.504771878","-1.191185132"," 1.308266883","-0.915725052"," 0.405798542","-0.460722027"," 0.572348000","-0.284503278","-0.819117236"," 1.906363837","-0.967439445","-0.867110166"," 0.010298323"," 0.802786554","-0.025142360","-1.633404530"," 1.779648442"," 0.212001548","-0.262423732","-0.268867776"," 1.420827651"," 3.064392657","-0.364031563","-0.339190443"," 0.773791936","-0.314446729"," 1.058129023","-1.516520292","-0.525429806"
"Sucrose","-0.352902576","-0.370356087","-0.581698899","-0.096856607"," 0.592927627","-0.174190647"," 0.116051503","-0.194750759","-0.629494196","-0.041791896","-0.163251393","-0.398235809","-0.468167818"," 1.345651134","-0.554564809","-0.351202645","-0.341969276","-0.409877580"," 0.078056832","-0.091332092","-0.279951100"," 0.291004352","-0.551861775","-0.350701200"," 0.022602596","-0.236509882","-0.085252265","-0.319823781","-0.373148113","-0.045707834"," 0.177671639"," 0.024348469","-0.271572414"," 0.167094971","-0.386323975","-0.164225905"," 0.315668140","-0.270675707","-0.356640242","-0.420353917"," 0.327643726","-0.563348885","-0.441714802"," 0.089127090"," 0.464513849"," 0.595818540","-0.633433715"," 0.283996924","-0.136067420","-0.467569217"," 6.934712623","-0.013630263"," 0.245090290","-0.350712967","-0.352935965"," 1.449340259","-0.461515127"," 0.005029793","-0.356556300","-0.415474498"
"Citric acid","-0.20238873","-0.16041407","-0.47588512","-0.34498255","-0.47275815","-0.19847398","-0.44750363","-0.52213580","-0.45169945"," 1.14319933","-0.54218739","-0.27750070","-0.36093592","-0.52151510","-0.39732706","-0.17999954","-0.47717812"," 0.47277421"," 1.29463384","-0.05121774"," 1.02740938"," 0.49876541","-0.51636923","-0.52845498"," 5.94365515"," 0.18059272"," 0.31355741"," 2.76760082","-0.29703800","-0.48893871","-0.18401265","-0.32770138","-0.55545452","-0.32349044","-0.47592982","-0.48909282","-0.40137123","-0.47786319","-0.52047201","-0.48223034","-0.31338745","-0.20989630","-0.51298598","-0.49460844","-0.42901480","-0.42908580","-0.43637011","-0.18726471"," 0.54016229"," 0.03625756"," 0.29959555","-0.40447356"," 1.60381565","-0.33818733","-0.52991128"," 0.74544810","-0.04492084","-0.50859494"," 0.54039299","-0.41663647"
