Genus,group,A2,Aerococcus,Alcaligenes,Alicycliphilus,Anaerostipes,CAG-873,Candidatus_Saccharimonas,Caproiciproducens,Castellaniella,Catenibacterium,Catenisphaera,CHKCI001,Christensenellaceae_R-7_group,Clostridium_innocuum_group,Coprobacter,Coprococcus,Coriobacteriaceae_UCG-002,Desulfovibrio,Diaphorobacter,Eggerthella,Erysipelatoclostridium,Eubacterium,Eubacterium_brachy_group,Eubacterium_eligens_group,Eubacterium_siraeum_group,Ezakiella,Facklamia,Faecalibaculum,Fusicatenibacter,Gardnerella,Gemella,Haemophilus,Intestinimonas,Jeotgalicoccus,Lachnospiraceae_AC2044_group,Lachnospiraceae_ND3007_group,Lachnospiraceae_UCG-001,Lachnospiraceae_UCG-004,Lachnospiraceae_UCG-010,Lachnospiraceae_XPB1014_group,Marvinbryantia,Megamonas,Morganella,Ochrobactrum,Paraprevotella,Peptoclostridium,Prevotellaceae_UCG-003,Pseudoalteromonas,Psychrobacter,Rikenella,Roseburia,Ruminobacter,Ruminococcus_gnavus_group,Ruminococcus_torques_group,Senegalimassilia,Serratia,Sutterella,Terrisporobacter,Turicibacter,UBA1819,UCG-002,UCG-004,UCG-010,Uruburuella
H1,Health,0,0,0.022865854,0,1.714939024,0,0,0,0,0,0,0,0.026676829,0,0,0.228658537,0,0.015243902,0,0.015243902,0.06097561,0,0,0.167682927,0.030487805,0.011432927,0,0.099085366,2.15320122,0,0,0.015243902,0,0,0,0.099085366,0.057164634,0.072408537,0.030487805,0,0.019054878,0.442073171,0,0.007621951,0.057164634,0,0,0,0,0,0.567835366,0,0.40777439,0.678353659,0,0,0,0,0,0.106707317,0.022865854,0,0,0
H3,Health,0,0,0,0,0.936683417,0,0,0,0,0.036180905,0,0,2.444221106,0,0.028140704,1.796984925,0,0,0,0.020100503,0.004020101,0,0,0.152763819,0.285427136,0,0,0,2.030150754,0,0,0.032160804,0,0,0.020100503,0.253266332,0.361809045,0.052261307,0.100502513,0.008040201,0.136683417,0.373869347,0,0,0,0,0.032160804,0,0,0,1.085427136,0,0.184924623,0.812060302,0,0,0,0.349748744,0.020100503,0.040201005,2.251256281,0,0.333668342,0
H5,Health,0,0,0,0,0.376677392,0,0,0,0,0.043160951,0,0,1.844149729,0.070627011,0.058855842,0.729812446,0,0.227575924,0,0.02746606,0,0,0,0.133406576,0.188338696,0.003923723,0,0,1.118261006,0,0,0.015694891,0,0,0,0.074550734,0.015694891,0.02746606,0.239347093,0,0.058855842,0.102016794,0,0,0,0,0,0,0,0,0.812210625,0,0.019618614,2.923173507,0.007847446,0,0.003923723,0.05493212,0,0.38844856,2.570038452,0,0.906379973,0
H9,Health,0,0,0,0,0.974982994,0,0,0,0,0.064243066,0,0,0.226740231,0.015116015,0.022674023,1.058121079,0,0,0,0.015116015,0,0,0,0.234298239,0.094475096,0,0,0,3.446451515,0,0,0.128486131,0,0,0,0.14738115,0.037790039,0.090696093,0.136044139,0,0.041569042,0.105812108,0,0,0.079359081,0,0,0,0,0,1.594739627,0,0.786032802,3.408661477,0.045348046,0,0.003779004,0.064243066,0.113370116,0.083138085,0.566850578,0,0.094475096,0
H10,Health,0,0,0.060501296,0,0.777873812,0,0,0,0,0,0,0,0.142610199,0,0,0.254969749,0,0.025929127,0,0.07346586,0,0,0,0.350043215,0,0,0,0,1.201382887,0,0,0.038893691,0,0,0,0.064822818,0.008643042,0.060501296,0.462402766,0,0.047536733,0.151253241,0,0.030250648,0.034572169,0,0,0,0,0,0.47968885,0,0.056179775,2.675021608,0,0,0.116681072,0.038893691,0.038893691,0.030250648,2.68366465,0,0,0
H12,Health,0,0,0.032932653,0,1.926560184,0,0,0,0,0,0,0,0.028816071,0,0,0.419891322,0,0.028816071,0,0,0.004116582,0,0,0.028816071,0,0,0,0,1.296723201,0,0,0.671002799,0,0,0,0.10291454,0.016466326,0.053515561,0.053515561,0,0.016466326,0.144080356,0,0.02469949,0.016466326,0,0,0,0,0,4.680553269,0,0.020582908,5.248641528,0,0,0.016466326,0,0.020582908,0.008233163,0.139963774,0,0,0
H15,Health,0,0,0.028421779,0,0.401965163,0,0,0,0,0,0,0,0.113687117,0,0,0.71054448,0,0.040602542,0,0.004060254,0,0,0,0.032482033,0.004060254,0,0,0,2.566080637,0,0.020301271,0.069024321,0,0,0,0.109626863,0,0.093385846,0.170530675,0,0,3.365950709,0,0.012180763,0.032482033,0,0,0,0,0,1.587559381,0,0.093385846,1.019123797,0.012180763,0,0.385724146,0,0,0.008120508,0.158349913,0,0,0
H16,Health,0,0,0,0,4.000166154,0,0,0,0,0,0,0,0.166154357,0,0,0.494309213,0,0.054000166,0,0.016615436,0.024923154,0,0,0.315693279,0,0,0,0.004153859,3.86308881,0,0,0,0,0,0,0.436155188,0.029077013,0.456924483,0.074769461,0,0.041538589,0.677079006,0,0,0.045692448,0,0,0,0,0,10.55495555,0,0.170308216,2.346930298,0.012461577,0,0.033230871,0.004153859,0,0.016615436,0.07892332,0,0.020769295,0
H20,Health,0,0,0,0,0.337680484,0,0,0,0,0.097034622,0,0.01552554,0.508461419,0.011644155,0.00776277,0.232883093,0,0.027169694,0,0.065983543,0.062102158,0,0,0.034932464,0.260052787,0.00776277,0,0,1.789318429,0,0,0.031051079,0,0,0.011644155,0.194069244,0.3337991,0.042695234,0.197950629,0,0.062102158,0.314392175,0,0,0,0,0.023288309,0,0,0,0.834497749,0,0.081509082,1.063499457,0.023288309,0,0.031051079,0.225120323,0.077627698,0.023288309,0.392019873,0,0.034932464,0
H21,Health,0,0,0,0,1.193271489,0,0,0,0,0,0,0.019246314,0.273297663,0.030794103,0.003849263,0.835290042,0,0.046191154,0,0.030794103,0,0,0,0.357981447,0.050040417,0,0,0,3.687593826,0,0,0,0,0,0,0.10777936,0.015397051,0.038492629,0.073135994,0,0.034643366,0.038492629,0,0,0.007698526,0,0.019246314,0,0,0,4.67300512,0,0.146271989,1.274106009,0.02694484,0,0,0.165518303,0.057738943,0.103930097,0.515801224,0.003849263,0.230955772,0
H24,Health,0,0,0,0,0.280228727,0,0,0,0,0.030294998,0,0,0.223425607,0,0.090884993,0.757374938,0,0,0,0,0,0,0,0.552883705,0.053016246,0,0,0,1.003521793,0,0,0.022721248,0,0,0,0.143901238,0.068163744,0.022721248,0.071950619,0,0.026508123,0.151474988,0,0,0.408982467,0,0,0,0,0,2.938614761,0,0.053016246,0.86340743,0.034081872,0,0.015147499,0.041655622,0,0.018934373,0.632408074,0,0.06437687,0
H25,Health,0,0,0,0.003876119,0.658940269,0,0,0,0,0,0,0.015504477,3.007868522,0,0.038761192,0.558161169,0,0,0,0.031008954,0,0,0,0.081398504,0.282956704,0,0,0,2.596999884,0,0,0,0,0,0.003876119,0.356602969,0,0.015504477,0.062017908,0.003876119,0.046513431,0.465134308,0,0,0,0,0.015504477,0,0,0,1.562076049,0,0.042637312,0.259699988,0,0,0,0.081398504,0.019380596,0.023256715,0.697701461,0,0.015504477,0
