Sample	Group
H1	Health
H3	Health
H5	Health
H9	Health
H10	Health
H11	Health
H14	Health
H15	Health
H17	Health
H18	Health
H19	Health
H20	Health
H21	Health
H22	Health
H24	Health
H25	Health
H26	Health
H29	Health
H31	Health
H32	Health
H33	Health
H35	Health
H37	Health
H38	Health
H39	Health
H40	Health
H41	Health
H42	Health
H44	Health
H46	Health
D1	Disease
D4	Disease
D5	Disease
D6	Disease
D8	Disease
D12	Disease
D13	Disease
D15	Disease
D16	Disease
D18	Disease
D19	Disease
D21	Disease
D27	Disease
D28	Disease
D29	Disease
D30	Disease
D32	Disease
D34	Disease
D36	Disease
D39	Disease
D40	Disease
D42	Disease
D43	Disease
D44	Disease
D45	Disease
D46	Disease
D48	Disease
D49	Disease
D50	Disease
D51	Disease
