Species,H1,H3,H5,H9,H10,H11,H14,H15,H17,H18,H19,H20,H21,H22,H24,H25,H26,H29,H31,H32,H33,H35,H37,H38,H39,H40,H41,H42,H44,H46,D1,D4,D5,D6,D8,D12,D13,D15,D16,D18,D19,D21,D27,D28,D29,D30,D32,D34,D36,D39,D40,D42,D43,D44,D45,D46,D48,D49,D50,D51
adhE,4.16E-05,9.81E-05,0.000200308,0.00016379,3.99E-05,0.000141969,7.68E-05,8.24E-05,7.67E-05,4.89E-05,5.04E-05,0.000159401,7.17E-05,0.000116828,0.000110567,4.02E-05,0.000160162,5.25E-05,0.000173638,9.46E-05,6.67E-05,8.07E-05,4.67E-05,9.49E-05,5.69E-05,0.000119529,0.000287098,9.52E-05,2.10E-05,0.000189691,4.90E-05,0.000269677,5.22E-05,5.53E-05,0.00041567,6.25E-05,0.000180436,0.000246068,0.000173536,0.000153861,0.000138491,0.000126978,0.000127515,0.000119289,0.000238273,0.000283361,4.72E-05,0.000188537,0.000314854,0.000177812,0.000239499,8.44E-05,0.000234359,0.000270144,0.000137213,3.45E-05,8.51E-05,3.25E-05,9.92E-05,8.95E-05
prpE,4.41E-06,4.20E-07,2.30E-05,4.25E-06,0,3.39E-05,2.49E-07,1.29E-07,1.70E-07,2.58E-07,0,1.12E-07,6.64E-07,4.34E-06,3.43E-05,1.15E-06,7.39E-05,2.79E-07,0.000102613,1.30E-05,5.01E-06,1.81E-07,6.19E-07,9.72E-06,2.47E-06,3.56E-05,4.15E-05,1.93E-08,3.01E-07,5.89E-05,1.75E-05,8.49E-06,3.72E-06,1.19E-07,0.000189673,1.06E-05,0.000111292,3.61E-07,4.74E-05,4.50E-05,1.18E-06,1.39E-06,3.76E-06,1.59E-05,5.21E-05,0.000161032,6.88E-07,0.000110797,0.000225944,1.49E-05,8.40E-05,2.97E-06,8.01E-07,0.000122395,8.67E-05,2.07E-08,5.93E-06,1.89E-06,3.24E-06,1.90E-07
fadB,3.26E-06,1.40E-06,1.70E-05,6.11E-06,2.21E-06,3.45E-05,5.75E-07,2.14E-07,1.41E-07,2.83E-07,1.18E-07,1.64E-07,1.86E-06,6.41E-06,2.66E-05,1.11E-06,6.62E-05,4.95E-07,7.15E-05,1.73E-05,4.49E-06,6.78E-08,5.99E-07,1.33E-05,1.53E-06,3.50E-05,6.21E-05,2.62E-06,9.85E-06,7.22E-05,1.67E-05,6.71E-06,2.73E-06,1.90E-07,0.000142267,9.38E-06,9.27E-05,2.28E-06,9.03E-05,4.31E-05,1.51E-05,1.97E-06,3.40E-06,2.31E-05,4.91E-05,0.000161273,5.95E-07,9.86E-05,0.000147699,1.31E-05,8.61E-05,5.61E-06,3.13E-07,9.64E-05,6.65E-05,9.27E-09,1.42E-05,2.83E-06,4.39E-06,5.46E-07
yqhD,0.000116732,4.51E-05,5.16E-05,1.01E-05,7.93E-05,5.84E-05,4.27E-05,1.80E-05,4.02E-05,7.09E-05,4.06E-05,4.06E-05,4.30E-05,3.30E-05,5.03E-05,3.37E-05,0.000159738,2.31E-05,5.62E-05,7.81E-05,6.03E-05,6.18E-05,6.91E-05,7.51E-05,7.36E-05,8.43E-05,0.000199835,2.64E-05,6.46E-06,0.000139557,0.000142843,9.60E-06,7.02E-05,3.40E-05,8.31E-05,0.000130079,9.66E-05,2.87E-05,0.000100892,3.98E-05,7.89E-05,6.46E-05,2.03E-05,2.52E-05,0.000188636,0.000128851,6.82E-05,0.000104818,0.000127424,5.19E-05,0.000234016,0.000115663,2.11E-05,7.72E-05,0.000129037,8.69E-05,4.33E-05,7.18E-05,0.000109797,9.88E-05
tdcD,2.81E-06,1.22E-06,1.61E-05,3.95E-06,1.59E-06,2.40E-05,3.03E-07,1.70E-07,1.00E-07,2.80E-07,4.95E-08,4.30E-08,1.68E-06,5.13E-06,2.18E-05,8.13E-07,9.67E-05,3.17E-07,5.65E-05,1.33E-05,2.76E-06,5.98E-08,3.37E-07,9.14E-06,1.18E-06,4.98E-05,5.16E-05,1.16E-06,6.14E-06,7.37E-05,2.26E-05,8.16E-06,2.25E-06,1.09E-07,0.000197013,1.80E-06,7.55E-05,1.09E-06,6.54E-05,3.35E-05,8.21E-06,1.12E-06,2.80E-06,1.67E-05,6.45E-05,0.000118791,5.55E-07,7.24E-05,0.000147998,8.52E-06,5.71E-05,4.21E-06,4.03E-07,7.75E-05,5.63E-05,0,1.12E-05,1.73E-06,4.10E-06,3.76E-07
ilvM,2.40E-06,1.01E-06,1.50E-05,6.69E-06,2.39E-06,2.70E-05,2.08E-07,3.57E-07,1.95E-07,5.40E-07,3.86E-08,0,1.66E-06,4.35E-06,2.45E-05,1.21E-06,4.58E-05,4.70E-07,5.73E-05,1.42E-05,3.91E-06,8.26E-07,6.30E-07,1.04E-05,1.95E-06,2.74E-05,6.19E-05,2.41E-06,8.51E-06,5.26E-05,1.04E-05,5.10E-06,2.63E-06,0,9.28E-05,7.09E-06,7.64E-05,2.23E-06,8.20E-05,3.99E-05,2.13E-05,9.58E-07,4.63E-06,2.16E-05,3.91E-05,0.000135953,4.87E-07,7.28E-05,0.000123184,7.91E-06,5.41E-05,4.56E-06,4.98E-07,7.25E-05,5.53E-05,0,1.55E-05,4.28E-06,2.11E-06,2.94E-07
frdC,8.31E-06,2.59E-06,1.46E-05,6.33E-06,1.19E-06,3.19E-05,3.46E-06,7.00E-07,1.50E-06,3.84E-06,1.37E-06,7.61E-07,2.66E-06,6.90E-06,2.39E-05,5.68E-06,4.98E-05,1.22E-06,5.92E-05,1.62E-05,4.88E-06,2.52E-06,2.38E-06,1.65E-05,9.76E-07,2.54E-05,0.000123655,3.26E-06,1.20E-05,3.73E-05,1.21E-05,5.54E-06,2.62E-06,1.13E-06,0.000109001,1.19E-05,8.07E-05,3.90E-06,8.13E-05,3.52E-05,1.56E-05,1.48E-06,2.63E-06,1.44E-05,3.65E-05,0.000136805,2.56E-06,7.69E-05,0.000133059,1.02E-05,7.65E-05,7.50E-06,6.06E-06,7.89E-05,5.75E-05,1.78E-06,1.51E-05,9.91E-06,2.81E-06,3.22E-06
acuI,2.78E-06,1.08E-06,1.41E-05,4.75E-06,1.86E-06,2.77E-05,3.97E-07,5.51E-08,1.59E-07,2.61E-07,2.05E-08,2.85E-08,1.66E-06,5.99E-06,2.92E-05,1.18E-06,7.35E-05,3.89E-07,0.000177116,1.27E-05,3.99E-06,3.13E-08,6.04E-07,9.22E-06,1.10E-06,3.20E-05,5.75E-05,1.25E-06,9.95E-06,3.64E-05,1.59E-05,7.53E-06,2.32E-06,2.13E-07,0.000159226,6.45E-06,7.78E-05,2.30E-06,6.69E-05,3.09E-05,9.57E-06,8.05E-07,3.04E-06,2.33E-05,5.59E-05,0.000129268,6.49E-07,7.50E-05,0.00012788,1.08E-05,5.86E-05,4.86E-06,5.73E-07,0.000116954,5.75E-05,0,1.16E-05,2.43E-06,2.97E-06,2.34E-07
"sdhD,frdD",1.62E-06,9.95E-07,1.20E-05,4.71E-06,1.56E-06,2.10E-05,2.23E-07,5.14E-08,6.69E-08,2.35E-07,0,4.20E-08,1.54E-06,3.61E-06,1.68E-05,8.66E-07,4.81E-05,2.72E-07,5.05E-05,9.56E-06,2.64E-06,2.26E-07,3.83E-07,9.24E-06,1.64E-06,2.20E-05,4.73E-05,1.79E-06,6.37E-06,4.90E-05,1.07E-05,3.88E-06,2.06E-06,1.22E-07,9.97E-05,5.41E-06,6.78E-05,1.77E-06,6.86E-05,3.23E-05,1.25E-05,4.41E-07,2.25E-06,1.43E-05,2.84E-05,0.000117149,5.36E-07,7.50E-05,0.000116218,5.35E-06,4.41E-05,3.11E-06,2.88E-07,6.85E-05,4.48E-05,0,1.22E-05,2.38E-06,2.48E-06,4.18E-07
frdD,1.81E-06,1.44E-06,1.09E-05,5.31E-06,1.34E-06,2.38E-05,5.38E-08,4.70E-08,1.51E-07,3.34E-07,5.54E-08,1.07E-07,2.04E-06,7.19E-06,1.41E-05,1.16E-06,4.39E-05,4.77E-07,5.09E-05,1.58E-05,3.23E-06,4.75E-07,3.08E-07,1.04E-05,7.90E-07,1.67E-05,6.25E-05,1.64E-06,6.53E-06,3.11E-05,8.99E-06,3.41E-06,1.70E-06,6.34E-08,8.78E-05,5.50E-06,6.08E-05,1.06E-06,7.71E-05,1.83E-05,1.31E-05,1.12E-06,2.21E-06,1.88E-05,3.26E-05,0.000117197,3.81E-07,6.68E-05,0.000113721,7.80E-06,5.45E-05,4.59E-06,1.11E-07,7.04E-05,5.59E-05,0,1.12E-05,2.85E-06,1.92E-06,5.77E-07
